"","urlhold","V2","V3","V4","V5","colorcount"
"91","http://www.freshpair.com/Munsingwear-Full-Rise-Comfort-Pouch-Brief-Combo-Pack-MW21.html","Munsingwear","Full Rise Comfort Pouch Brief Combo Pack","13.60","
Material: 100% pre-shrunk combed cotton","1"
"92","http://www.freshpair.com/Naked-Signature-Modal-Cotton-Crew-T-Shirt-M130200.html","Naked","Signature Modal Cotton Crew T-Shirt","40.00","
Materials: 48% modal, 48% cotton, 4% spandex","2"
"93","http://www.freshpair.com/Hanes-4-Pack-ComfortSoft-Boxer-Briefs-2349Z5.html","Hanes","4-Pack ComfortSoft Boxer Briefs","0.00","
Materials: 75% cotton, 25% polyester","1"
"94","http://www.freshpair.com/Bike-2-Pack-Performance-Cotton-Jockstrap-BASP17B.html","Bike","2-Pack Performance Cotton Jockstrap","14.25","
Material: 55% nylon, 25% rubber, 20% cotton, waistband: 70% polyester, 30% rubber","2"
"95","http://www.freshpair.com/Fruit-of-the-Loom-3-Pack-Big-Man-White-V-Neck-T-Shirt-2626VX.html","Fruit of the Loom","3-Pack Big Man White V-Neck T-Shirt","26.50","unknown","1"
"96","http://www.freshpair.com/Freshpair-Free-Shipping-FreeShippingM.html","Freshpair","Free Shipping","0.00","unknown","1"
"97","http://www.freshpair.com/Hanes-3-Pack-Ultimate-X-Temp-Performance-Boxer-Briefs-with-Longer-Legs-UPB3B3.html","Hanes","3-Pack Ultimate X-Temp Performance Boxer Briefs with Longer Legs","32.00","
Materials: 100% polyester","1"
"98","http://www.freshpair.com/C-IN2-Core-Profile-Brief-4003.html","C-IN2","Core Profile Brief","16.00","
Materials:","3"
"99","http://www.freshpair.com/Obviously-Naked-9inch-Boxer-Brief-Y1104.html","Obviously","Naked 9inch Boxer Brief","18.95","I willl never buy any other underwear again. These are comfortable and supportive and flattering. Material is very soft, size is great. I will fill my dresser with these and only these.","2"
"100","http://www.freshpair.com/Calvin-Klein-4-Pack-Cotton-Classic-Low-Rise-Brief-U4183.html","Calvin Klein","4-Pack Cotton Classic Low Rise Brief","39.50","
Material: 100% cotton","4"
"101","http://www.freshpair.com/Leo-Torso-Toner-Tank-035000.html","Leo","Torso Toner Tank","60.00","unknown","3"
"102","http://www.freshpair.com/Munsingwear-3-Pack-Mid-Rise-Pouch-Brief-MW22-3.html","Munsingwear","3-Pack Mid Rise Pouch Brief","13.60","
Material: 100% combed cotton","1"
"103","http://www.freshpair.com/Calvin-Klein-4-Pack-Cotton-Classic-Brief-U4000.html","Calvin Klein","4-Pack Cotton Classic Brief","39.50","
Material: 100% Cotton","5"
"104","http://www.freshpair.com/Spanx-for-Men-Cotton-Compression-Tank-611.html","Spanx for Men","Cotton Compression Tank","55.00","
Materials: 81% cotton, 19% spandex
 ","2"
"105","http://www.freshpair.com/Hanes-3-Pack-ComfortBlend-Boxer-Briefs-7549P3.html","Hanes","3-Pack ComfortBlend Boxer Briefs","15.09","
Materials: 50% cotton, 50% polyester","2"
"106","http://www.freshpair.com/Doreanse-Low-Rise-Bikini-1281.html","Doreanse","Low Rise Bikini","12.00","
Materials: 45% cotton, 45% modal, ,10% Lycra","5"
"107","http://www.freshpair.com/C-IN2-Scuff-Jock-5126-41515.html","C-IN2","Scuff Jock","24.00","
Materials: 95% cotton, 5% spandex/elastane/lycra","2"
"108","http://www.freshpair.com/Players-Tricot-Nylon-Brief-NBR1.html","Players","Tricot Nylon Brief","12.00","
Materials:","7"
"109","http://www.freshpair.com/Bike-Performance-Cotton-Jockstrap-BASP17.html","Bike","Performance Cotton Jockstrap","7.00","
Material: 55% nylon, 25% rubber, 20% cotton, waistband: 70% polyester, 30% rubber","2"
"110","http://www.freshpair.com/Charles-Archer-Nu-Brief-FPCA106.html","Charles Archer","Nu Brief","13.60","
Materials: 95% rayon, 5% spandex","3"
"111","http://www.freshpair.com/Calvin-Klein-Body-Modal-Bikini-Brief-U5552.html","Calvin Klein","Body Modal Bikini Brief","24.00","
Materials: 90% modal, 10% Lycra","4"
"112","http://www.freshpair.com/C-IN2-Core-Lo-No-Show-Sport-Brief-4014.html","C-IN2","Core Lo No Show Sport Brief","16.00","
Materials: 100% Cotton","3"
